INFO 2024-11-20 21:51:27,918 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-20 21:51:27,923 autoreload Waiting for apps ready_event.
DEBUG 2024-11-20 21:51:28,274 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-20 21:51:28,346 autoreload Watching dir C:\Users\usung\OneDrive\πŸ≈¡ »≠∏È\portfoilo-first\pastagram\templates with glob **/*.
DEBUG 2024-11-20 21:51:28,348 autoreload Watching dir C:\Users\usung\OneDrive\πŸ≈¡ »≠∏È\portfoilo-first\pastagram\locale with glob **/*.mo.
DEBUG 2024-11-20 21:51:28,349 autoreload Watching dir C:\Users\usung\OneDrive\πŸ≈¡ »≠∏È\portfoilo-first\pastagram\users\locale with glob **/*.mo.
DEBUG 2024-11-20 21:51:28,349 autoreload Watching dir C:\Users\usung\OneDrive\πŸ≈¡ »≠∏È\portfoilo-first\pastagram\posts\locale with glob **/*.mo.
DEBUG 2024-11-20 21:51:28,350 autoreload Watching dir C:\Users\usung\AppData\Local\Programs\Python\Python39\lib\site-packages\storages\locale with glob **/*.mo.
DEBUG 2024-11-20 21:51:28,977 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\bs4\element.py first seen with mtime 1732095968.323015
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\shutil.py first seen with mtime 1652773510.0
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1732095989.712366
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\collections\abc.py first seen with mtime 1652773510.0
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\staticfiles\storage.py first seen with mtime 1732096011.34184
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\typing.py first seen with mtime 1652773512.0
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\utils.py first seen with mtime 1732096012.5288832
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\botocore\docs\bcdoc\style.py first seen with mtime 1732095944.4657478
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1702459995.3921814
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\charset_normalizer\md.cp39-win_amd64.pyd first seen with mtime 1732095911.0720193
DEBUG 2024-11-20 21:51:28,993 autoreload File C:\Users\usung\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1732095989.6951752
